Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type;Standard Text Value;Value
CHEMBL4062489;;;343.47;0.0;4.32;3;C[C@@H](C(=O)O)c1c([C@@]2(C)CCCC(C)(C)C2)ccc2c1CN(C)C2=O;IC50;;;;;;Not Active;;;;;;0;CHEMBL4033911;Antitrypanosomal activity against Trypanosoma cruzi intracellular amastigotes;F;BAO_0000219;cell-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL4033613;1;Scientific Literature;J Nat Prod;2017.0;;;;;
CHEMBL3343471;;;387.48;0.0;3.77;6;C[C@@H](C(=O)O)c1c([C@@]2(C)CCCC(C)(C)C2)ccc2c1CN(CC(=O)O)C2=O;IC50;;;;;;Not Active;;;;;;0;CHEMBL4033911;Antitrypanosomal activity against Trypanosoma cruzi intracellular amastigotes;F;BAO_0000219;cell-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL4033613;1;Scientific Literature;J Nat Prod;2017.0;;;;;
CHEMBL568075;BRAZILIZONE A;;361.34;1.0;1.7;S1;Cn1c([N+](=O)[O-])cnc1-c1nnc(N/N=C\c2ccc(O)c(O)c2)s1;IC50;'=';2100.0;nM;5.68;;;UO_0000065;;;;;0;CHEMBL1266147;Antitrypanosomal activity against Trypanosoma cruzi amastigotes infected in mouse peritoneal macrophages assessed as inhibition of infection after 1 day;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1255468;1;Scientific Literature;Antimicrob Agents Chemother;2010.0;;;;;2.1
CHEMBL4072095;;;355.38;0.0;4.24;B{12};CC1CCc2ccccc2N1S(=O)(=O)c1cccc(C(F)(F)F)c1;IC50;'=';6600.0;nM;5.18;;;UO_0000065;;;;;0;CHEMBL4045492;Antiparasitic activity against Trypanosoma cruzi Tulahuen C4 intracellular amastigotes infected in rat L6 cells after 96 hrs by CPRG/Nonidet reagent based photometric analysis;F;BAO_0000219;cell-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL4043153;1;Scientific Literature;Bioorg Med Chem Lett;2017.0;;;;;6.6
CHEMBL1452638;;;307.8;0.0;3.48;A{6};O=S(=O)(c1ccc(Cl)cc1)N1CCCc2ccccc21;IC50;'=';15980.0;nM;4.8;;;UO_0000065;;;;;0;CHEMBL4045499;Antiparasitic activity against Trypanosoma cruzi Tulahuen C4 intracellular amastigotes infected in rat L6 cells;F;BAO_0000219;cell-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL4043153;1;Scientific Literature;Bioorg Med Chem Lett;2017.0;;;;;15.98
CHEMBL1173183;;;239.32;0.0;3.15;7a;O[C@@H]1Cc2ccccc2N[C@H](c2ccccc2)C1;IC50;'>';100000.0;nM;;;;UO_0000065;;;;;0;CHEMBL1176408;Antitrypanosomal activity against Trypanosoma cruzi 320I01 amastigotes infected in african green monkey Vero cells after 5 days by Giemsa staining;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;Vero;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1177650;1;Scientific Literature;Bioorg Med Chem;2010.0;CHEMBL3307520;;;;100.0
CHEMBL1172778;;;271.75;0.0;4.15;6j;Clc1cccc([C@@H]2C[C@@H]3Cc4ccccc4N2O3)c1;IC50;'>';100000.0;nM;;;;UO_0000065;;;;;0;CHEMBL1176408;Antitrypanosomal activity against Trypanosoma cruzi 320I01 amastigotes infected in african green monkey Vero cells after 5 days by Giemsa staining;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;Vero;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1177650;1;Scientific Literature;Bioorg Med Chem;2010.0;CHEMBL3307520;;;;100.0
CHEMBL1172238;;;321.3;0.0;4.39;6b;FC(F)(F)Oc1ccc2c(c1)C[C@H]1C[C@@H](c3ccccc3)N2O1;IC50;'>';100000.0;nM;;;;UO_0000065;;;;;0;CHEMBL1176408;Antitrypanosomal activity against Trypanosoma cruzi 320I01 amastigotes infected in african green monkey Vero cells after 5 days by Giemsa staining;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;Vero;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1177650;1;Scientific Literature;Bioorg Med Chem;2010.0;CHEMBL3307520;;;;100.0
CHEMBL1773677;MARINOQUINOLINE A;;182.23;0.0;3.02;1, Marinoquinoline A;Cc1nc2ccccc2c2cc[nH]c12;IC50;'=';29500.0;nM;4.53;;;UO_0000065;;;;;0;CHEMBL1776732;Antiparasitic activity against Trypanosoma cruzi Tulahuen C4 amastigotes;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1773069;1;Scientific Literature;J Nat Prod;2011.0;;;;;29.5
CHEMBL1939614;;;588.67;2.0;6.79;8d;C[C@]12[C@@H]3N(c4ccccc4)N=C(C(=O)c4ccccc4)N3c3ccccc3N1C(C(=O)c1ccccc1)=NN2c1ccccc1;IC50;'=';10080.0;nM;5.0;;;UO_0000065;;;;;0;CHEMBL1943897;Antiparasitic activity against nifurtimox-sensitive amastigotes of Trypanosoma cruzi Tulahuen expressing LacZ gene infected in human MRC5 cells using chlorophenolred b-Dgalacto-pyranoside as substrate by colorimetric method;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;MRC5;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1938376;1;Scientific Literature;Bioorg Med Chem Lett;2012.0;CHEMBL3308499;;;;10.08
