Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type;Standard Text Value;Value
CHEMBL227560;4-CHLORO CHALCONE;;242.71;0.0;4.24;page 128,C2R15;O=C(/C=C/c1ccc(Cl)cc1)c1ccccc1;IC50;'=';21900.0;nM;4.66;;;UO_0000065;;;;;0;CHEMBL943124;Growth inhibition of Trypanosoma cruzi epimastigotes;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1140598;1;Scientific Literature;Eur J Med Chem;2007.0;;;;;21.9
CHEMBL2371789;;;1274.7;;;D-6-45;CC[C@@H]1NC(=O)[C@H]([C@H](O)/C(C)=C\CCC(=O)OC(C)C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O;IC50;'=';7640.0;nM;5.12;;;UO_0000065;;;;;0;CHEMBL833224;Compound was tested for the inhibition of Trypanosoma cruzi epimastigote growth after 72 hours of treatment;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1137829;1;Scientific Literature;Bioorg Med Chem Lett;2004.0;;;;;7.64
CHEMBL207045;;;280.33;0.0;1.58;32;CC1(C)[N+]([O-])=c2ccc(/C=C/c3ccccc3)cc2=[N+]1[O-];IC50;'=';6000.0;nM;5.22;;;UO_0000065;;;;;0;CHEMBL871211;Antitrypanosomatid activity against Trypanosoma cruzi CL Brener epimastigote form;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1147825;1;Scientific Literature;J Med Chem;2006.0;;;;;6.0
CHEMBL290960;NIFURTIMOX;4.0;287.3;0.0;0.64;S5;CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1;IC50;'=';6500.0;nM;5.19;;;UO_0000065;;;;;0;CHEMBL871212;Antitrypanosomatid activity against Trypanosoma cruzi Y epimastigote form;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1147825;1;Scientific Literature;J Med Chem;2006.0;;;;;6.5
CHEMBL207045;;;280.33;0.0;1.58;32;CC1(C)[N+]([O-])=c2ccc(/C=C/c3ccccc3)cc2=[N+]1[O-];IC50;'=';5000.0;nM;5.3;;;UO_0000065;;;;;0;CHEMBL871212;Antitrypanosomatid activity against Trypanosoma cruzi Y epimastigote form;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1147825;1;Scientific Literature;J Med Chem;2006.0;;;;;5.0
CHEMBL272156;;;433.51;0.0;4.63;53;COc1ccc(CN2CCN(Cc3ccc(OC)cc3)C2c2cccc([N+](=O)[O-])c2)cc1;IC50;'=';23000.0;nM;4.64;;;UO_0000065;;;;;0;CHEMBL933340;Growth inhibition of Trypanosoma cruzi epimastigotes Tulahuen 2;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1142328;1;Scientific Literature;Bioorg Med Chem;2008.0;;;;;23.0
CHEMBL272157;;;413.35;1.0;5.72;36;Oc1cccc(C2N(Cc3ccc(Cl)cc3)CCN2Cc2ccc(Cl)cc2)c1;IC50;'=';4600.0;nM;5.34;;;UO_0000065;;;;;0;CHEMBL933340;Growth inhibition of Trypanosoma cruzi epimastigotes Tulahuen 2;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1142328;1;Scientific Literature;Bioorg Med Chem;2008.0;;;;;4.6
CHEMBL272809;;;397.35;1.0;6.01;29;Clc1cccc(CN2CCN(Cc3cccc(Cl)c3)C2c2ccccc2)c1;IC50;'=';14700.0;nM;4.83;;;UO_0000065;;;;;0;CHEMBL933340;Growth inhibition of Trypanosoma cruzi epimastigotes Tulahuen 2;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1142328;1;Scientific Literature;Bioorg Med Chem;2008.0;;;;;14.7
CHEMBL272598;;;397.35;1.0;6.01;28;Clc1ccc(CN2CCN(Cc3ccc(Cl)cc3)C2c2ccccc2)cc1;IC50;'=';5000.0;nM;5.3;;;UO_0000065;;;;;0;CHEMBL933340;Growth inhibition of Trypanosoma cruzi epimastigotes Tulahuen 2;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1142328;1;Scientific Literature;Bioorg Med Chem;2008.0;;;;;5.0
CHEMBL410894;;;388.51;0.0;4.72;25;COc1ccc(CN2CCN(Cc3ccc(OC)cc3)C2c2ccccc2)cc1;IC50;'=';1100.0;nM;5.96;;;UO_0000065;;;;;0;CHEMBL933340;Growth inhibition of Trypanosoma cruzi epimastigotes Tulahuen 2;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1142328;1;Scientific Literature;Bioorg Med Chem;2008.0;;;;;1.1
