Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type;Standard Text Value;Value
CHEMBL225146;;;491.55;1.0;5.26;6k;CCOc1ccc(-c2cc(C(=O)N/N=C\c3ccc(O)cc3)c3c(C)nn(-c4ccccc4)c3n2)cc1;IC50;'=';169.6;ug.mL-1;;Outside typical range;;UO_0000274;;;;;0;CHEMBL919193;Antiparasitic activity against Trypanosoma cruzei Y blood stream trypomastigotes;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1144515;1;Scientific Literature;Bioorg Med Chem;2007.0;;;;;169.6
CHEMBL110;BENZNIDAZOLE;4.0;260.25;0.0;1.11;Bz;O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1;IC50;'=';34100.0;nM;4.47;;;UO_0000065;;;;;0;CHEMBL1819805;Trypanocidal activity against bloodstream trypomastigote form of Trypanosoma cruzi after 24 hrs;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1817640;1;Scientific Literature;Eur J Med Chem;2011.0;;;;;34.1
CHEMBL1214464;METHYL ESTER PANDAROSIDE J;;794.93;3.0;1.63;12;C=C(C(=O)C[C@@H](C)C1=C(O)C(=O)[C@@H]2[C@@H]3CC[C@H]4C[C@@H](O[C@@H]5O[C@H](C(=O)OC)[C@@H](O)[C@H](O)[C@H]5O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C;IC50;'=';70500.0;nM;4.15;;;UO_0000065;;;;;0;CHEMBL1217447;Trypanocidal activity against trypomastigote form of Trypanosoma cruzi Tulahuen infected in rat L6 cells after 96 hrs;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;L6;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1212832;1;Scientific Literature;J Nat Prod;2010.0;CHEMBL3308469;;;;70.5
CHEMBL1214515;PANDAROSIDE D;;606.75;1.0;3.55;16;CC(C)CC(=O)C[C@@H](C)C1=C(O)C(=O)[C@@H]2[C@@H]3CC[C@H]4C[C@@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@H]3CC[C@]12C;IC50;'=';80800.0;nM;4.09;;;UO_0000065;;;;;0;CHEMBL1217447;Trypanocidal activity against trypomastigote form of Trypanosoma cruzi Tulahuen infected in rat L6 cells after 96 hrs;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;L6;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1212832;1;Scientific Literature;J Nat Prod;2010.0;CHEMBL3308469;;;;80.8
CHEMBL1214517;METHYL ESTER PANDAROSIDE C;;782.92;3.0;1.46;18;COC(=O)[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@@H](CC[C@H]4[C@H]5C(=O)C(O)=C([C@H](C)CC(=O)CC(C)C)[C@@]5(C)CC[C@@H]43)C2)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O;IC50;'=';100000.0;nM;4.0;;;UO_0000065;;;;;0;CHEMBL1217447;Trypanocidal activity against trypomastigote form of Trypanosoma cruzi Tulahuen infected in rat L6 cells after 96 hrs;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;L6;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1212832;1;Scientific Literature;J Nat Prod;2010.0;CHEMBL3308469;;;;100.0
CHEMBL1650071;;;423.52;0.0;3.5;13;CCON1CCN=C1Nc1ccc(Nc2ccc(NC3=NCCN3OCC)cc2)cc1;IC50;'=';87000.0;nM;4.06;;;UO_0000065;;;;;0;CHEMBL1663720;Antiprotozoal activity against trypomastigote forms of Trypanosoma cruzi Tulahuen C2C4 expressing LacZ by alamar blue assay;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1649414;1;Scientific Literature;J Med Chem;2011.0;;;;;87.0
CHEMBL1650072;;;547.66;2.0;5.86;14;c1ccc(CON2CCN=C2Nc2ccc(Nc3ccc(NC4=NCCN4OCc4ccccc4)cc3)cc2)cc1;IC50;'=';6600.0;nM;5.18;;;UO_0000065;;;;;0;CHEMBL1663720;Antiprotozoal activity against trypomastigote forms of Trypanosoma cruzi Tulahuen C2C4 expressing LacZ by alamar blue assay;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1649414;1;Scientific Literature;J Med Chem;2011.0;;;;;6.6
CHEMBL1650073;;;535.65;2.0;4.51;15;c1cc(Nc2ccc(NC3=NCCN3OC3CCCCO3)cc2)ccc1NC1=NCCN1OC1CCCCO1;IC50;'=';24000.0;nM;4.62;;;UO_0000065;;;;;0;CHEMBL1663720;Antiprotozoal activity against trypomastigote forms of Trypanosoma cruzi Tulahuen C2C4 expressing LacZ by alamar blue assay;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1649414;1;Scientific Literature;J Med Chem;2011.0;;;;;24.0
CHEMBL1650076;;;876.03;2.0;8.28;6;O=C1c2ccccc2C(=O)N1CCN(OCc1ccccc1)C(=S)Nc1ccc(Nc2ccc(NC(=S)N(CCN3C(=O)c4ccccc4C3=O)OCc3ccccc3)cc2)cc1;IC50;'>';100000.0;nM;;;;UO_0000065;;;;;0;CHEMBL1663720;Antiprotozoal activity against trypomastigote forms of Trypanosoma cruzi Tulahuen C2C4 expressing LacZ by alamar blue assay;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1649414;1;Scientific Literature;J Med Chem;2011.0;;;;;100.0
CHEMBL1650078;;;833.95;2.0;4.32;10a;CON(CCNC(=S)Nc1ccc(Nc2ccc(NC(=S)NCCN(OC)S(=O)(=O)c3ccccc3[N+](=O)[O-])cc2)cc1)S(=O)(=O)c1ccccc1[N+](=O)[O-];IC50;'>';108000.0;nM;;Outside typical range;;UO_0000065;;;;;0;CHEMBL1663720;Antiprotozoal activity against trypomastigote forms of Trypanosoma cruzi Tulahuen C2C4 expressing LacZ by alamar blue assay;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1649414;1;Scientific Literature;J Med Chem;2011.0;;;;;108.0
CHEMBL93743;;;306.37;0.0;2.18;7d;OC1(Cc2ccc3c(c2)COC3)c2ccccc2C2=NCCN21;IC50;'>';100.0;ug.mL-1;;Outside typical range;;UO_0000274;;;;;0;CHEMBL820656;"Inhibitory concentration against trypomastigotes (Y strain) of Trypanosoma cruzi; Inactive";F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1133815;1;Scientific Literature;Bioorg Med Chem Lett;2001.0;;;;;100.0
CHEMBL250270;LERCANIDIPINE;3.0;611.74;2.0;6.48;Lercanidipine;COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)(C)CN(C)CCC(c2ccccc2)c2ccccc2)C1c1cccc([N+](=O)[O-])c1;IC50;'=';8430.0;nM;5.07;;;UO_0000065;;;;;0;CHEMBL1286534;Antitrypanosomal activity against trypomastigotes of Trypanosoma cruzi infected in rhesus monkey LLC-MK2 cells after 48 hrs by MTT assay;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;LLC-MK2;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1275339;1;Scientific Literature;Bioorg Med Chem;2010.0;CHEMBL3307684;;;;8.43
