"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1727832";"";"None";"308.38";"0";"3.62";"1b";"COC(=O)CN1C(C)=Nc2ccc(C)cc2C1c1ccccc1";"IC50";"'='";"38000.0";"nM";"4.42";"";"";"UO_0000065";"14.33";"0.26";"0.80";"10.55";"0";"CHEMBL1837594";"Inhibition of trypanothione reductase from Trypanosoma cruzi by DTNB-coupled spectrophotometric assay";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1833819";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";"";"";"38.0"
"CHEMBL378136";"";"None";"759.06";"3";"5.45";"9c";"N=C(NCCCNCCCCNCCCNC(=N)NC(=N)NCCC(c1ccccc1)c1ccccc1)NC(=N)NCCC(c1ccccc1)c1ccccc1";"IC50";"'='";"2960.0";"nM";"5.53";"";"";"UO_0000065";"7.28";"0.13";"0.08";"2.88";"0";"CHEMBL869331";"Inhibition of Trypanosoma cruzi TR";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1148496";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"2.96"
"CHEMBL208290";"";"None";"689.01";"3";"6.79";"7d";"N=C(NCCCNCCCCCCCNCCCNC(=N)NCC(c1ccccc1)c1ccccc1)NCC(c1ccccc1)c1ccccc1";"IC50";"'='";"4720.0";"nM";"5.33";"";"";"UO_0000065";"7.73";"0.14";"-1.46";"4.44";"0";"CHEMBL869331";"Inhibition of Trypanosoma cruzi TR";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1148496";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"4.72"
"CHEMBL358636";"";"None";"671.79";"1";"4.91";"7";"CC1=C(CCCCC(=O)NCCCNCCCNC(=O)CCCCC2=C(C)C(=O)c3cccc(O)c3C2=O)C(=O)c2c(O)cccc2C1=O";"IC50";"'='";"500.0";"nM";"6.30";"";"";"UO_0000065";"9.38";"0.18";"1.39";"3.52";"0";"CHEMBL818116";"Concentration required for inhibition of Trypanothione reductase (TcTR) from Trypanosoma cruzi in the presence of 50 uM TS2 as substrate";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1133437";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2000";"None";"";"";"";"0.5"
"CHEMBL39390";"";"None";"333.80";"0";"4.33";"26";"O=C(O)CCC(=O)N1c2ccccc2Sc2ccc(Cl)cc21";"IC50";"'='";"1484000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL811879";"Inhibitory activity against recombinant Trypanosoma cruzi (Trypanosoma cruzi) Trypanothione reductase";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1131108";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";"";"1484.0"
"CHEMBL39234";"";"None";"368.50";"0";"4.65";"45";"CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1cc(C(C)=O)ccc1S2";"IC50";"'='";"472000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL811879";"Inhibitory activity against recombinant Trypanosoma cruzi (Trypanosoma cruzi) Trypanothione reductase";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1131108";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";"";"472.0"
"CHEMBL357338";"";"None";"326.40";"0";"1.94";"16 2-g";"CC1=C(CCC(=O)N2CCN(C)CC2)C(=O)c2ccccc2C1=O";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL812446";"Inhibitory activity against Trypanosoma cruzi trypanothione disulfide reductase, assay in presence of 57 uM T(S)2.";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1134791";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"50.0"
"CHEMBL90820";"";"None";"506.03";"2";"5.98";"2b";"COc1ccc2nc3cc(Cl)ccc3c(NCCCNS(=O)(=O)c3ccc4ccccc4c3)c2c1";"IC50";"'='";"3300.0";"nM";"5.48";"";"";"UO_0000065";"10.83";"0.21";"-0.50";"6.82";"0";"CHEMBL818118";"Inhibitory concentration against trypanothione reductase was determined";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1133983";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"None";"";"";"";"3.3"
"CHEMBL17665";"";"None";"710.97";"2";"7.67";"bis(2-aminodiphenylsulfide)";"CN1CCN(CCC(=O)Nc2ccccc2Sc2cccc(NC(=O)CCCCCC(=O)Nc3cccc(Sc4ccccc4N)c3)c2)CC1";"IC50";"'='";"1800.0";"nM";"5.75";"";"";"UO_0000065";"8.08";"0.16";"-1.93";"4.80";"0";"CHEMBL818119";"Inhibition of trypanothione reductase from Trypanosoma cruzi, in the presence 57 uM of trypanothione T(SH)2";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1131361";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1998";"None";"";"";"";"1.8"
"CHEMBL643";"PROMETHAZINE";"4.0";"284.43";"0";"4.24";"22";"CC(CN1c2ccccc2Sc2ccccc21)N(C)C";"IC50";"'='";"271000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL811879";"Inhibitory activity against recombinant Trypanosoma cruzi (Trypanosoma cruzi) Trypanothione reductase";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1131108";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";"";"271.0"
